HashApp,HashOwner,HashFunction,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
m4xvj662mhpgkq2b2mdedo41sz0q7xpz0krcq0prduta1s6xug3vlvkvipsiwxr9,bkp9h8et3kobfzz2cbab68zup9wnhkp2ajxvett6qdg2nowcgsq7vza7nxr9syep,i51pws7xmuijoii0au1gjo48695ruxwu9e1us4h3903b9bouv4p26jp17eht2t50,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
itrw79ebjntro8iggad1zpl7n4xuef65cs9g4a13odoc9ovrbalrnwf4nkpih9nn,0dbail1euujap7ugzwdz02n5xx4l9lffkvp7ws6daqzedhnfnhf1xvb52jhdbjx1,lrxbz11bub55o3fsz1kp1f4wwsf1j26cu7oka01t8we3t891kb5sa8j5echlbl0y,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
34gshenomvgwdme891hio9034g6gdtfuumttmfvn2j1rzs7q5parwsqpdqzlivi2,wmqoca3o59gvz4vpn43ch4elybxuh96hrzdg1ux5rl5jasmvhkjtlm94sf20rq35,4jj8ykhw2s8f8z5avl9m5g80jvpi8868wov1dqf5b6thyblq89xwz1d1aan91sy0,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
mx0glxzs3t47fomop1gel5zr20l9ymkukaahujsmvrqkojzgp0bqf84jysiypx8w,2ricxjeuz5rt5vyvl8vzb80s9kb6yf1om5kfb2tw9ztyurz4aqg3u30ibrmw1f4v,qrojll9g5dks59fuunt8kwzb4rtq5uwdrfz77gb8l60l4odz4wjv7qa3syhnif04,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
6403l96eoo2t61k9ffhkqtkwfv7fxxgl9v9vbw9oxvr7rrtor7njz7vdre2qp5ur,jacqwv9j3bh9w6madcqx57yq8hdjx466rjgug7m8txq3tc5muph4yt8i217o76h2,571jmyfy7i4bwpyxudkic4hadl8n9ljn4ormtc4c6ugqmugbz7a55z34edwd61mb,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
ngc57y040rfg5452qwrnzzjobkrouff5eih81igrvaqmwsq690lwbb2brotcnkok,siux8971wzwno2dyace0vxf0oi92nb57dwf1thlj4ybju79bg37m8g3h7gbnaj2k,3b05v84hzmm0uob01tz62swfinup8j8jler1t3efqj5a6kbzz5cbsrr1yb5uqvqc,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
6cvmldot1r8z64ck0v88zpyl0mkntz3se256omzoa96iv8ui9h2pfhgolap9e5bx,2y5gcn99vfqcmwllk5tjqyb1zgm4qj3eh5zm6px4t7d4pe82jqq369qxex612eu6,iggg2w626ga0i87kobwtxkqjxuoiyec4axisd4c8y8dvj4h92x1nk5k63ckqt3kg,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
j9tuh9r22dnwnruow5a3l5zyr1meyqyx3cuo9m1o9fu0azdc9ikfv3o7hrohjc70,348wjswwht1jbvfsobhe0e2ruq727t8kgstemeck4gnc9oqrenxy1b8vsrmw2xyu,k080fceq9qatyt190hg15ovoyszzkuoby5nxfbtmpaoczkczs4alc7nzx6lhpqj4,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
iqibxzqq15yjfzoe77tcwyxm08ak9trq6n0orudhfstaedsjo69kgxq1mr8bxggi,vpipr593tzucfc52i4rr6l1n4d4tdlzkgxpogulj61busz2g1alo3u8isolpl7ec,qg50ap8gnso4auy22xsciu68wuu71xoo8pyj1jqm0t1ytexb2xflwhpacd38euv4,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
kpktg9f75rybpi1y4fxbcdnk49jmayumy43vci00m9rk5mmk0kgy148baxx1nnsm,6o39m9w132yncf14truomrk7htx7j9gkcdgqyptbtuz3uun1nmj9az8ljn3bxxyf,1qby8qptchlwqrt69h6s68slfbwgqjy148ngfxwt6mozt3htyhkbdproa6208ecl,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
j8rhgszc5zy6t2uynn90x56w3f3akgkv095zxnqtk6cqqk9vs50ec7jp046liyb3,hfuvgurov175h9qbd55vk5116xuj6ed9675h6cwc9t3eoa3m2dbr6odrnuywgr6n,zjqlj1cwqvk5c1dtiylnhj7y7amfm5rh3qhgh6wie7aeqd3d62x07ptshitft2rp,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
yx5wqxekh9iigymht768le84fgz48sdgm2yfl2yzl3aik00s3vxhm1ed9qhfcpnn,u84u2eb29ov846ew60hsi8q0dek0tichdq7boscrejciaiykr0genbnqzn8w6nu9,2lajm5dr0mn2x9sveta8260tix42psp9yeusemj70mb7s244uzo9c141oi16dcep,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
sclk3ubns3iwxacjt9rkfjjlpmwicrix844iu84vmi8gz5ip1m6z8yh49yhtuk2e,jpoaugbhnuy7u4otoma3uku5gt2rv2jve0r5hxxlhizaix1hnbpbn6dq6ho5p2eh,xsx1o63g2uhj8szk2bqh55500xuot4wrnmeq6fphymdadnbxgakjd8vkrofb6zsu,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
qgzw7tqtg1i02lmi4g3pj5a98s4xdjarri604e4pkefk3amwgrxqfou869dx3bs1,jvwwx4d06nehgd027g0ndpmqyy116d8yinpinu07phrgavffnvspuqzrfpc5komc,vzh299s4t54zb4e67rb4771zs5d62qmdoxyuipt945e3998ralw581ftolw76nfq,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
v030ni5yz1362hc2mnn2b4artg78g6fsrcwil5dm8xgnqx9korrt77g862x2uba0,i7atrx9l0781xfsj58vcqxb89kxue2e1ji5el75h12zaarzwlutq8857c364sp78,yh8g7kfvn9fy374dt936d4x2nxxx0thxi8frnjmwz3hljz7dsp46rymo4vgiejhv,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
0ym719txc30fkowga4xvlcyd9n5uwu0ypfv0i4z1wevva6a0lvimmcs54suhxskc,if4m1m6slihs11r3mqcgl3mvb4cw9r658858vxewsp8dmuxvy9efnovqhvj2vqgu,d32t8jl8kqizmlxf8oe4fm9cpjvzw8bwejsd3ix94okfjbdeu1e5aach2sh952qa,1,2048,2048,2048,2048,2048,2048,2048,2048,2048
