HashFunction,HashOwner,HashApp,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
bg4tll3ck2j99txp8rh5283jlx1hcpzkkirx8a9lu9j4e9h35vrlxf3lq67ffkyu,l5683dfklxwqatp67l3xch0zc77p9opwgjlqzltzp524yw5uj5wz3z66a164tpiv,q7stqem9xf1cv8afkcd4so86pa0aotkv8wkfkhcg183lx0yjmnl89vwdcqzg5gdc,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
iz4923xc4pfny9h5v3eui0vv7gfrs5ao7yevaaauf1wfot1kycaan6h7frb0ri3v,d28vornisk0kbqd4phos9oyqohiauk5zrw3t0tvmly9teyf61lba91ps3fk7gwhb,upfzsgp892g7gmjmfkjory8lkeytlsvz4de9ms59km4rpej727vk86k2v054bsfv,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
zqej4latkw8y4aw2aehpsqe7h98rqti5q9iz12tf33nyuq9j08nv7yfkhv3h9l7x,cigiveqgh1ux0mo6mj3ky1l7qsrw5mp7f4x18sgylv0ocqullbrnex1lnrxfjkie,rup37ulkw94ttzbe3ttbvhyxi74mdiluejd6ayjmvk0zv3xz1l227zcp44r4u4k6,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
cq0861cv890jquke7vzv1hcusznuxe2azqt4xxayir22b1e8ls3l0edrhfvxztop,8dfl2hkia4wzqzpsr70zb1xynhtkw7x1py8osqg15gqs0pzt5pbbwoivtnprmzdp,yk42m6biffip0eyphn7s2wwntg2vbwf8m73jscdfs1in5oygqiwtj1igdrt5puk5,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
gp9svos7vy3i65ve5hit5vm972d2yqai445im6wq2k7z0qrhdld9hg9qgbuje02o,55lcca2jklov51d7otwpnvkrdfr1xt2byo9s3tahdir8ep0rg7cu5mlzfng94iu5,lwap62diaquq5c1drz0erwvgtsv2jtq8vt6pz63fi2shsways0koft3ydmy8uott,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
iqm083r63sbu6ohiq5bmtfzryfkd5lx74l9r9yx0xgzpm9k22j7e120b1zh2aasp,opoe2vzqacb0rr2a9blh7z9qq1ffli3zwt0hzl73cufwaupbqq7jbtjx6ejowjre,q649n5p4nzc9pa7r1tvz40mbaeegp0uxcpet31x1ufeuv1f62abcldu3hk4ck9xq,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
uizvg7v2pxzlpxkeaigrva89s60m8xy51l7cm5xj9sf193zx557eeuhzh9w3553r,4cq4xufajlggpru6xil530tvcfmb29q6t1vzn7yzzebkvuhp63z0k4pg3glb0fyq,vi3p9po1nw76gtcxjct8nu0qhrdmeqx7xgcl97zo47lg9nsyqjvpdwr1f8ua9doc,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
w32v3w3w2ocq3r6wlf6lyzs4bmvfo43xwjvi1zxo77w3lex8r99uh9zceyapf2eu,cf7ptmem42f5x5sm4n18kshl6ui4vgd1txu68wria79gr1voljj490e7sf8hdlvj,v3m1s6xnicy3wpiz6dnjugp91tm6o2hs5zzjsdt61st8lkgt3r860jkglzw7ik2s,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
0j0gdh1486vlrcmfkami9xh2nlquhvp7klemnhwtt609ptvixc3y5c5jtg5xazvm,ged6qxkb9uqvz9a20f4df3ec1bhjupknqut323mq1i2r2zkp840ga1132bsfe20b,hozkosrq8hofljdap68nyga23jrtxuahh4m98qwvdbgsqnmktlrxt52icxhi3c1k,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
lxm1b0xkpf2mduh79scqulwfurtzq6d8zs9y8zjyukkdva5857laogoyg2gzoa4r,1jkvoa9pqlb51el6htvrubtbg0askegzdf6wstzaei4k71wmbg8t3sq2zbeo1934,imwypbpevduwuy1p5kra0tjpagl984vurxythhdo5lb2bft9g24ig7jy8vi18k6g,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
1f2te9j3jtjawjpavfaxdoisdz1pe14tu60barcj61r6h5ayez74i0yehziytogy,5czl28apn1clywvyil05dm2z5n5bs3ioydtf4ahynxj4v1behje95o03xy96ovdh,9307tlnkzstok1zbzgkj9gvbyu0okk4fih9dhsdnecqlwx9qsez9tf9sg1eavbro,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
650ce3g0uag1c6xs3c94qpuqehyvwa2lkhja7mcqgaiz0wo5poxfodal06umaegf,jt20jquys2q1qsw4yumjd5g3uym89f7f3aue5fstzhgncz6vv8n56zrnq4z3rvot,sgsb8hw4u20nrz4ye3xxkhhk5wy7kd5jj639yhw1g7j85y7ot0udd8k4zgnij5am,100.0,57523.0,99.0,101.0,99.0,99.0,99.0,100.0,101.0,101.0,101.0
